vector_size,window,total_sentences,accuracy,hits,misses,not found
50.0,3.0,1531.0,0.20978305362259517,4100.0,14576.0,868.0
50.0,3.0,3062.0,0.20937372083503888,4092.0,14584.0,868.0
50.0,3.0,6125.0,0.20829922226770364,4071.0,14605.0,868.0
50.0,6.0,1531.0,0.24171101105198525,4724.0,13952.0,868.0
50.0,6.0,3062.0,0.2396131805157593,4683.0,13993.0,868.0
50.0,6.0,6125.0,0.23378018829308228,4569.0,14107.0,868.0
50.0,10.0,1531.0,0.23751534997953336,4642.0,14034.0,868.0
50.0,10.0,3062.0,0.23869218174375767,4665.0,14011.0,868.0
50.0,10.0,6125.0,0.23362668849774867,4566.0,14110.0,868.0
100.0,3.0,1531.0,0.2466741711011052,4821.0,13855.0,868.0
100.0,3.0,3062.0,0.24426934097421205,4774.0,13902.0,868.0
100.0,3.0,6125.0,0.24759516987310684,4839.0,13837.0,868.0
100.0,6.0,1531.0,0.2819279574293901,5510.0,13166.0,868.0
100.0,6.0,3062.0,0.28315595579205893,5534.0,13142.0,868.0
100.0,6.0,6125.0,0.28576545231273026,5585.0,13091.0,868.0
100.0,10.0,1531.0,0.2956406058125256,5778.0,12898.0,868.0
100.0,10.0,3062.0,0.28863078182562424,5641.0,13035.0,868.0
100.0,10.0,6125.0,0.2891424478100696,5651.0,13025.0,868.0
300.0,3.0,1531.0,0.23664551780597626,4625.0,14051.0,868.0
300.0,3.0,3062.0,0.23792468276708964,4650.0,14026.0,868.0
300.0,3.0,6125.0,0.23459885386819485,4585.0,14091.0,868.0
300.0,6.0,1531.0,0.2714899713467049,5306.0,13370.0,868.0
300.0,6.0,3062.0,0.2696991404011461,5271.0,13405.0,868.0
300.0,6.0,6125.0,0.27512279983626686,5377.0,13299.0,868.0
300.0,10.0,1531.0,0.2885796152271797,5640.0,13036.0,868.0
300.0,10.0,3062.0,0.29686860417519445,5802.0,12874.0,868.0
300.0,10.0,6125.0,0.29001227998362666,5668.0,13008.0,868.0
